Months,Visitor Arrivals
1-Jan-20,"39,492"
1-Feb,"42,347"
1-Mar,"19,721"
1-Apr,185
1-May,300
1-Jun,553
1-Jul,628
1-Aug,758
1-Sep,528
1-Oct,"6,784"
1-Nov,"17,626"
1-Dec,"1,787"
1-Jan,"1,640"
1-Feb,"3,243"
1-Mar,"6,445"
1-Apr,"22,708"
1-May,"35,080"
1-Jun,"54,697"
1-Jul,"62,534"
1-Aug,"53,301"
1-Sep,"40,106"
1-Oct,"41,282"
1-Nov,"47,322"
1-Dec,"46,703"
1-Jan,"33,303"
1-Feb,"38,284"
1-Mar,"47,324"
1-Apr,"60,295"
1-May,"50,221"
1-Jun,"60,991"
1-Jul,"66,262"
1-Aug,"57,157"
1-Sep,"47,762"
1-Oct,"47,304"
1-Nov,"47,973"
1-Dec,"52,194"
1-Jan,"39,055"
1-Feb,"39,196"
1-Mar,"46,992"
1-Apr,"55,216"
1-May,"46,408"
1-Jun,"57,521"
1-Jul,"62,068"
1-Aug,"58,441"
1-Sep,"48,282"
1-Oct,"45,061"
1-Nov,"47,108"
1-Dec,"51,005"
